symbol,symboltoken,pdh,pdl,dir,open,perc,is_gap,min,max,o_qty,ltp
NCC-EQ,2319.0,122.7,119.2,1,120.3,-0.0196,False,119.2,122.7,831,120.95
DCMSHRIRAM-EQ,811.0,921.6,897.2,1,903.35,-0.0198,False,897.2,921.6,110,906.7
RAINBOW-EQ,9408.0,979.85,963.0,-1,982.45,-0.0198,False,963.0,982.45,101,984.5
TITAN-EQ,3506.0,3044.4,2985.05,-1,3046.0,-0.02,False,2985.05,3046.0,32,3051.55
MAPMYINDIA-EQ,7227.0,1239.4,1210.35,-1,1235.0,-0.02,False,1210.35,1239.4,80,1238.0
ZFCVINDIA-EQ,16915.0,12247.95,11932.05,-1,12177.0,-0.0201,False,11932.05,12247.95,8,12177.0
JINDALSTEL-EQ,6733.0,588.0,575.0,1,576.1,-0.0202,False,575.0,588.0,173,577.2
TCNSBRANDS-EQ,4172.0,424.0,414.2,1,415.45,-0.0202,False,414.2,424.0,240,417.7
LUPIN-EQ,10440.0,894.0,873.05,-1,891.1,-0.0203,False,873.05,894.0,112,891.9
ENDURANCE-EQ,18822.0,1603.0,1557.7,-1,1590.0,-0.0203,False,1557.7,1603.0,62,1599.35
HFCL-EQ,21951.0,66.35,64.6,1,65.0,-0.0203,False,64.6,66.35,1538,65.35
INFY-EQ,1594.0,1296.7,1281.4,-1,1308.2,-0.0205,False,1281.4,1308.2,76,1311.0
WELCORP-EQ,11821.0,268.8,262.05,1,263.3,-0.0205,False,262.05,268.8,379,263.95
RHIM-EQ,31163.0,674.0,655.0,1,660.0,-0.0208,False,655.0,674.0,151,662.1
KPITTECH-EQ,9683.0,1106.6,1076.55,-1,1099.5,-0.0209,False,1076.55,1106.6,90,1089.8
RITES-EQ,3761.0,385.15,376.75,1,377.05,-0.021,False,376.75,385.15,265,375.0
VARROC-EQ,3857.0,341.4,331.65,-1,338.8,-0.0211,False,331.65,341.4,295,338.15
GLAXO-EQ,1153.0,1449.85,1422.0,1,1419.0,-0.0213,False,1419.0,1449.85,70,1412.3
ALKEM-EQ,11703.0,3459.8,3395.0,-1,3469.35,-0.0214,False,3395.0,3469.35,28,3474.9
IOC-EQ,1624.0,91.15,89.0,-1,90.95,-0.0214,False,89.0,91.15,1099,90.85
SIEMENS-EQ,3150.0,3781.6,3682.3,-1,3764.0,-0.0217,False,3682.3,3781.6,26,3734.05
DRREDDY-EQ,881.0,5119.4,5004.35,-1,5116.0,-0.0218,False,5004.35,5119.4,19,5125.65
